index,bpm,probability,time,downbeat
535,149.94162,0.968210936,107.055828,false
536,149.941605,0.967843533,107.255828,true
537,149.941559,0.967400491,107.455896,false
538,149.942429,0.967060983,107.655964,false
539,149.938599,0.967758596,107.856009,false
540,149.936234,0.968245089,108.056122,false
541,149.932083,0.96780926,108.256236,false
542,149.931274,0.967775881,108.456372,false
543,149.936661,0.967949629,108.656463,false
544,149.936661,0.967885077,108.856485,true
545,149.937256,0.967969835,109.056553,false
546,149.93924,0.967770159,109.256621,false
547,149.935791,0.96854198,109.456667,false
548,149.935211,0.969349384,109.65678,false
549,149.925751,0.968984962,109.856871,false
550,149.926285,0.969049811,110.057075,false
551,149.934052,0.969150722,110.257166,false
552,149.934052,0.969176114,110.457166,true
553,149.937103,0.969140291,110.657234,false
554,149.942535,0.968726039,110.857279,false
555,149.945404,0.968976974,111.057279,false
556,149.951019,0.969578087,111.257302,false
557,149.94693,0.969177365,111.457279,false
558,149.948685,0.969129741,111.657392,false
559,149.961884,0.969072461,111.857438,false
560,149.961853,0.968780875,112.057324,true
561,149.964706,0.968611121,112.25737,false
562,149.965866,0.96813798,112.45737,false
563,149.957932,0.968605518,112.657392,false
564,149.957932,0.968812168,112.857528,false
565,149.957932,0.96835953,113.057574,false
566,149.964523,0.968140423,113.257619,false
567,149.977798,0.968096495,113.457574,false
568,149.977798,0.967754602,113.657438,true
569,149.977798,0.967241704,113.85746,false
570,149.978027,0.966700733,114.057483,false
571,149.970139,0.966933489,114.257506,false
572,149.965317,0.967468202,114.457619,false
573,149.963577,0.966983259,114.65771,false
574,149.968231,0.96646744,114.857778,false
575,149.985535,0.966318727,115.057755,false
576,149.985535,0.966004968,115.257551,true
577,149.981293,0.966016948,115.457551,false
578,149.972961,0.965868294,115.657619,false
579,149.964417,0.966193795,115.857732,false
580,149.960327,0.966404557,116.057868,false
581,149.949371,0.965920746,116.257959,false
582,149.945251,0.965531707,116.458141,false
583,149.95578,0.965277076,116.658254,false
584,149.95578,0.96534431,116.858186,true
585,149.947556,0.965212584,117.058231,false
586,149.944656,0.964724064,117.25839,false
587,149.936813,0.965343833,117.458481,false
588,149.932266,0.965450525,117.658639,false
589,149.928513,0.964963615,117.858776,false
590,149.927567,0.964458287,118.058912,false
591,149.943512,0.964354873,118.259002,false
592,149.943527,0.964082897,118.458889,true
593,149.940857,0.964146614,118.658957,false
594,149.945145,0.964189351,118.859048,false
595,149.942368,0.965046763,119.059048,false
596,149.9431,0.965155303,119.259138,false
597,149.951309,0.964701295,119.459184,false
598,149.967148,0.964496017,119.659138,false
599,149.995651,0.96436888,119.85898,false
600,149.995651,0.964162409,120.058639,true
601,149.997604,0.964213908,120.258639,false
602,150.002029,0.963897169,120.458617,false
603,150.003387,0.964246511,120.658549,false
604,150.006577,0.964457095,120.858526,false
605,150.002914,0.963979721,121.058458,false
606,149.991364,0.963951111,121.258481,false
607,149.993408,0.963875711,121.458617,false
608,149.993408,0.964173555,121.658594,true
609,149.992752,0.964153588,121.858594,false
610,149.99707,0.96372962,122.058594,false
611,149.997711,0.96382463,122.258526,false
612,150.001266,0.96429354,122.458503,false
613,150.006073,0.96382618,122.658458,false
614,149.989548,0.963755012,122.85839,false
615,149.982239,0.963617444,123.058594,false
616,149.982239,0.963411212,123.258707,true
617,149.986832,0.963294923,123.45873,false
618,149.980835,0.963179708,123.658685,false
619,149.969589,0.962702394,123.858776,false
620,149.964706,0.963495672,124.058934,false
621,149.964539,0.963009417,124.259025,false
